;Sprite;Artist;Artist 2;QC;QC2;QC3
155;Crabominable;FlorianDX;;MBCMechachu;;
156;Oricorio;MBCMechachu;;leParagon;;
157;Type:Null;MBCMechachu;;;;
158;Minior;MultiDiegoDani;;;;
159;Komala;MultiDiegoDani;;;;
160;Mimikyu Busted;MBCMechachu;;;;
161;Bruxish;MultiDiegoDani;;MBCMechachu;;
162;Ultra Necrozma;Wolfang62;;;;
163;Falinks;MBCMechachu;;;;
164;Pincurchin;MBCMechachu;;;;
165;Morpeko;RadicalCharizard;JadedArts;MBCMechachu;;
166;Urshifu Single Strike;RadicalCharizard;;;;
167;Hisuian Decidueye;FlorianDX;;MBCMechachu;;
168;Hisuian Typhlosion;MultiDiegoDani;;HexeChroma;leParagon;
169;Hisuian Samurott;MultiDiegoDani;;MBCMechachu;;
170;Wyrdeer;MultiDiegoDani;;leParagon;;
171;Kleavor;MBCMechachu;;leParagon;;
172;Ursaluna;MBCMechachu;;leParagon;;
173;Hisuian Growlithe;MultiDiegoDani;;leParagon;;
174;Hisuian Arcanine;MultiDiegoDani;;leParagon;;
175;Hisuian Voltorb;MultiDiegoDani;;MBCMechachu;leParagon;
176;Hisuian Electrode;MultiDiegoDani;;leParagon;;
177;Hisuian Qwilfish;MultiDiegoDani;;MBCMechachu;;
178;Overqwil;MultiDiegoDani;;MBCMechachu;;
180;Hisuian Sneasel;MultiDiegoDani;;MBCMechachu;leParagon;
181;Sneasler;MBCMechachu;;leParagon;;
182;Hisuian Lilligant;MultiDiegoDani;;;;
183;Basculin White-Stripe;MultiDiegoDani;;grand-emperor-z;leParagon;
184;Basculegion;MultiDiegoDani;;leParagon;;
185;Hisuian Zorua;MultiDiegoDani;;MBCMechachu;leParagon;
186;Hisuian Zoroark;MultiDiegoDani;;MBCMechachu;;
187;Hisuian Braviary;MultiDiegoDani;;leParagon;;
188;Hisuian Sliggoo;MBCMechachu;;;;
189;Hisuian Goodra;MBCMechachu;;;;
190;Hisuian Avalugg;MultiDiegoDani;;;;
191;Origin Dialga;MultiDiegoDani;;leParagon;;
192;Origin Palkia;MultiDiegoDani;;leParagon;;
193;Enamorus Incarnate;MultiDiegoDani;;MBCMechachu;leParagon;
194;Enamorus Therian;MultiDiegoDani;;MBCMechachu;leParagon;
195;Mega Venusaur;MBCMechachu;;leParagon;;
196;Mega Charizard X;MBCMechachu;;leParagon;;
197;Mega Charizard Y;MBCMechachu;;leParagon;;
198;Mega Blastoise;MBCMechachu;;leParagon;;
199;Mega Beedrill;FlorianDX;;leParagon;;
200;Mega Pidgeot;FlorianDX;;leParagon;;
201;Mega Alakazam;RadicalCharizard;;leParagon;;
202;Mega Slowbro;MBCMechachu;;leParagon;;
203;Mega Gengar;MBCMechachu;;leParagon;;
204;Mega Kangaskhan;FlorianDX;;MBCMechachu;;
205;Mega Pinsir;leParagon;;;;
206;Mega Gyarados;FlorianDX;;leParagon;;
207;Mega Aerodactyl;MBCMechachu;;leParagon;;
208;Mega Mewtwo X;MBCMechachu;;leParagon;;
209;Mega Mewtwo Y;MBCMechachu;;leParagon;;
210;Mega Ampharos;FlorianDX;;leParagon;;
211;Mega Steelix;FlorainDX;;leParagon;;
212;Mega Scizor;leParagon;;;;
213;Mega Heracross;MBCMechachu;;leParagon;;
214;Mega Houndoom;MBCMechachu;;leParagon;;
215;Mega Tyranitar;leParagon;;;;
216;Mega Sceptile;leParagon;;;;
217;Mega Blaziken;MBCMechachu;;leParagon;;
218;Mega Swampert;leParagon;;;;
219;Mega Gardevoir;MBCMechachu;;leParagon;;
220;Mega Sableye;MBCMechachu;;leParagon;;
221;Mega Mawile;MBCMechachu;;leParagon;;
222;Mega Aggron;leParagon;;;;
223;Mega Medicham;FlorianDX;;leParagon;;
224;Mega Manectric;MBCMechachu;;leParagon;;
225;Mega Sharpedo;MBCMechachu;;leParagon;;
226;Mega Camerupt;MultiDiegoDani;;leParagon;;
227;Mega Altaria;MultiDiegoDani;;leParagon;;
228;Mega Banette;FlorianDX;;leParagon;;
229;Mega Absol;MBCMechachu;;leParagon;;
230;Mega Glalie;MBCMechachu;;leParagon;;
231;Mega Salamence;MBCMechachu;;leParagon;;
232;Mega Metagross;leParagon;;;;
233;Mega Latias;FlorianDX;;leParagon;;
234;Mega Latios;FlorianDX;;leParagon;;
235;Primal Kyogre;leParagon;;;;
236;Primal Groudon;leParagon;;;;
237;Mega Rayquaza;leParagon;;;;
238;Mega Lopunny;MBCMechachu;;leParagon;;
239;Mega Garchomp;leParagon;;;;
240;Mega Lucario;FlorianDX;;leParagon;;
241;Mega Abomasnow;leParagon;;;;
242;Mega Gallade;MBCMechachu;;leParagon;;
243;Mega Audino;MBCMechachu;;leParagon;;
244;Ash Greninja;Wolfang62;;MBCMechachu;leParagon;
245;Mega Diancie;MultiDiegoDani;;leParagon;;
246;pumpkaboo (regular-small-large-super);5310;;;;
247;Bulbasaur;JadedArts;;;;
248;Squirtle;JadedArts;;;;
249;Sandshrew;JadedArts;;;;
250;Nidoran F;JadedArts;;;;
251;Phanpy;JadedArts;;;;
252;Ivysaur;;;leParagon;;
253;Charmander;;;leParagon;;
254;Wartortle;;;leParagon;;
255;Metapod;;;leParagon;;
256;Kakuna;;;leParagon;;
257;Pidgeotto;;;leParagon;;
258;Nidorina;;;leParagon;;
259;Nidorino;;;leParagon;;
260;Zubat;;;leParagon;;
261;Gloom;;;leParagon;;
262;Machoke;;;leParagon;;
263;Weepinbell;;;leParagon;;
264;Haunter;;;leParagon;;
265;Dragonair;;;leParagon;;
266;Mew;;;leParagon;;
267;Quilava;;;leParagon;;
268;Skiploom;;;leParagon;;
269;Pupitar;;;leParagon;;
270;Grovyle;;;leParagon;;
271;Combusken;;;leParagon;;
272;Lombre;;;leParagon;;
273;Nuzleaf;;;leParagon;;
274;Kirlia;;;leParagon;;
275;Monferno;;;leParagon;;
276;Dewott;;;leParagon;;
277;Graveler;MBCMechachu;;;;
278;Alolan Graveler;MBCMechachu;;;;
279;Amoonguss;MBCMechachu;;;;
280;Jigglypuff;;;MBCMechachu;ImaTmekeeperRaptor;
281;Onix;;;MBCMechachu;;
282;Mienfoo;CarmaNekko;;MBCMechachu;;
283;Paldean Tauros (Combat, Blaze & Aqua breed);MBCMechachu;;;;
286;Paldean Wooper;MBCMechachu;;Woollii_;;
287;Sprigatito;Zerudez;;MBCMechachu;;
288;Floragato;Acpeters;;;;
289;Meowscarada;Acpeters;;;;
290;Fuecoco;MultiDiegoDani;;MBCMechachu;;
291;Crocalor;Acpeters;;;;
292;Skeledirge;Acpeters;;;;
293;Quaxly;MultiDiegoDani;Zerudez;MBCMechachu;TraviS;
294;Quaxwell;Acpeters;;;;
295;Quaquaval;Acpeters;;;;
296;Lechonk;Zerudez;;;;
297;Oinkologne;MultiDiegoDani;;MBCMechachu;;
298;Tarountula;CarmaNekko;;MBCMechachu;;
299;Spidops;MBCMechachu;;;;
300;Nymble;CarmaNekko;;MultiDiegoDani;MBCMechachu;
301;Lokix;MultiDiegoDani;;;;
302;Pawmi;Ezerart;;;;
303;Pawmo;MultiDiegoDani;CarmaNekko;MBCMechachu;;
304;Pawmot;MultiDiegoDani;CarmaNekko;MBCMechachu;;
305;Tandemaus;Ezerart;;grand-emperor-z;;
306;Maushold (both families);JadedArts;;MBCMechachu;Acpeters;
308;Fidough;CarmaNekko;;;;
309;Dachsbun;MBCMechachu;CarmaNekko;;;
310;Smoliv;MultiDiegoDani;;;;
311;Dolliv;MultiDiegoDani;;MBCMechachu;;
312;Arboliva;MultiDiegoDani;;;;
313;Squawkabilly (all colors);MultiDiegoDani;;CarmaNekko;;
317;Nacli;MultiDiegoDani;;;;
318;Naclstack;MultiDiegoDani;;;;
319;Garganacl;MultiDiegoDani;;MBCMechachu;;
320;Charcadet;Ezerart;;;;
321;Armarogue;Banana Toast;;;;
322;Ceruledge;Banana Toast;;;;
323;Tadbulb;CarmaNekko;;MBCMechachu;;
324;Bellibolt;MultiDiegoDani;;;;
325;Wattrel;MultiDiegoDani;;;;
326;Kilowattrel;MultiDiegoDani;;;;
327;Masschiff;CarmaNekko;;MBCMechachu;;
328;Mabosstiff;CarmaNekko;;MBCMechachu;;
329;Shroodle;Ezerart;;;;
330;Grafaiai;MultiDiegoDani;;;;
331;Bramblin;Ezerart;;;;
332;Brambleghast;MultiDiegoDani;;;;
333;Toedscool;JadedArts;;;;
334;Toedscruel;MBCMechachu;;;;
335;Klawf;Acpeters;;MBCMechachu;;
336;Capsakid;Banana Toast;;;;
337;Scovillian;MBCMechachu;;Banana Toast;CarmaNekko;
338;Rellor;MultiDiegoDani;;MBCMechachu;;
339;Rabsca;MultiDiegoDani;;MBCMechachu;;
340;Flittle;Ezerart;;;;
341;Espathra;Acpeters;MultiDiegoDani;MBCMechachu;;
342;Tinkatink;Hexechroma;;MBCMechachu;;
343;Tinkatuff;CarmaNekko;;MBCMechachu;;
344;Tinkaton;CarmaNekko;MBCMechachu;;;
345;Wiglett;CarmaNekko;;;;
346;Wugtrio;MultiDiegoDani;;MBCMechachu;;
347;Bombirdier;MultiDiegoDani;;MBCMechachu;;
348;Finizen;Acpeters;;;;
349;Palafin Zero;Ezerart;;;;
350;Palafin Hero;Ezerart;;;;
351;Varoom;CarmaNekko;;MBCMechachu;;
352;Revavroom;MultiDiegoDani;;;;
353;Cyclizar;Acpeters;MultiDiegoDani;MBCMechachu;;
354;Orthworm;MBCMechachu;;;;
355;Glimmet;CarmaNekko;;MBCMechachu;;
356;Glimmora;MBCMechachu;;;;
357;Greavard;Ezerart;;;;
358;Houndstone;Zerudez;;;;
359;Flamigo;Acpeters;;;;
360;Cetoddle;MultiDiegoDani;;MBCMechachu;;
361;Cetitan;JadedArts;MultiDiegoDani;MBCMechachu;Acpeters;leParagon
362;Veluza;CarmaNekko;;MBCMechachu;;
363;Dondozo;Banana Toast;;;;
364;Tatsugiri (all forms);MBCMechachu;;Katten;Sphexdecimal;
367;Annihilape;CarmaNekko;;MBCMechachu;;
368;Clodsire;CarmaNekko;;MBCMechachu;;
369;Farigiraf;JadedArts;;;;
370;Dudunsparce (both forms);MBCMechachu;;leParagon;;
372;Kingambit;CarmaNekko;;MBCMechachu;;
373;Great Tusk;MBCMechachu;;;;
374;Scream Tail;Hexechroma;MBCMechachu;;;
375;Brute Bonnet;Banana Toast;;;;
376;Flutter Mane;MBCMechachu;;;;
377;Slither Wing;MultiDiegoDani;;;;
378;Sandy Shocks;Acpeters;;;;
379;Iron Treads;MBCMechachu;;;;
380;Iron Bundle;MBCMechachu;;Uppababy;Sphexdecimal;Swadloontastic
381;Iron Hands;MBCMechachu;;;;
382;Iron Jugulis;MBCMechachu;;Banana Toast;;
383;Iron Moth;MultiDiegoDani;;;;
384;Iron Thorns;Acpeters;;MBCMechachu;;
385;Frigibax;Sphexadecimal;;MBCMechachu;;
386;Arctibax;Sphexadecimal;;;;
387;Baxcalibur;CarmaNekko;;MBCMechachu;;
388;Gimmighoul Roaming;Banana Toast;;;;
389;Gimmighoul Chest;Ezerart;;;;
390;Gholdengo;MBCMechachu;;Banana Toast;;
391;Wo-Chien;Banana Toast;;;;
392;Chien-Pao;Sphexadecimal;;;;
393;Ting-Lu;Banana Toast;;;;
394;Chi-Yu;Sphexadecimal;;Banana Toast;;
395;Roaring Moon;MBCMechachu;;;;
396;Iron Valiant;Sphexadecimal;;MBCMechachu;;
397;Koraidon;Banana Toast;;MBCMechachu;;
398;Miraidon;Acpeters;;MBCMechachu;Banana Toast;CarmaNekko
399;Koraidon (Limited);CarmaNekko;;MBCMechachu;;
400;Miraidon (Low-Power);Banana Toast;;MBCMechachu;;
401;Walking Wake;Acpeters;;;;
402;Iron Leaves;Acpeters;;;;
403;Scyther;MBCMechachu;;;;
404;Rhydon;MBCMechachu;;;;
405;Morgrem;MultiDiegoDani;;MBCMechachu;;
406;Raging Bolt;Acpeters;;;;
407;Iron Crown;Acpeters;;;;
408;Dipplin;MultiDiegoDani;;;;
409;Poltchageist;Ezerart;;;;
410;Sinistcha;MultiDiegoDani;;;;
411;Ursaluna Bloodmoon;MultiDiegoDani;;;;
412;Okidogi;MultiDiegoDani;;;;
413;Munkidori;MultiDiegoDani;;MBCMechachu;;
414;Fezandipiti;MultiDiegoDani;;;;
415;Ogerpon (all forms);MultiDiegoDani;;;;
416;Archaludon;MultiDiegoDani;;;;
417;Hydrapple;MultiDiegoDani;;;;
418;Gouging Fire;Acpeters;;;;
419;Iron Boulder;Acpeters;;;;
420;Terapagos (Normal);Ezerart;MBCMechachu;;;
421;Terapagos (Terastal);MBCMechachu;;;;
422;Terapagos Stellar;Acpeters;;;;
423;Pecharunt;MultiDiegoDani;;;;
;;;;;;
